,index,ChannelID,SiteIndex,X,Y,Z,DurationTime,AverageForce,MaxTemperature,MaxPower,BaseImpedance,ImpedanceDrop,FTI,RFIndex,TagIndexStatus,StartTs,EndTs,PresetName,PresetId,Comment,Site,Color,Seq
0,2842,0,1,-18.296,30.921999999999997,76.952,12.95,22.049,-10000.0,-10000.0,-10000.0,-10000.0,286.0,-10000.0,0,4027540,4075390,Preset,1,izquierda,izquierda,2.0,
1,2842,0,2,-12.263,29.421,80.184,6.2829999999999995,16.996,-10000.0,-10000.0,-10000.0,-10000.0,107.0,-10000.0,0,4027540,4075390,Preset,1,izquierda,,2.0,
2,2842,0,3,-18.875999999999998,33.917,81.527,21.116999999999997,20.334,-10000.0,-10000.0,-10000.0,-10000.0,429.0,-10000.0,0,4027540,4075390,Preset,1,izquierda,,2.0,
3,2842,0,4,-21.601,29.154,77.617,6.983,23.484,-10000.0,-10000.0,-10000.0,-10000.0,164.0,-10000.0,0,4027540,4075390,Preset,1,izquierda,,2.0,
4,2843,0,5,-15.469000000000001,26.842,79.238,6.9,17.096,-10000.0,-10000.0,-10000.0,-10000.0,118.0,-10000.0,0,4075940,4101040,Preset,1,,izquierda,2.0,
5,2843,0,6,-14.245999999999999,34.284,83.59700000000001,4.45,13.970999999999998,-10000.0,-10000.0,-10000.0,-10000.0,62.0,-10000.0,0,4075940,4101040,Preset,1,,izquierda,2.0,
6,2843,0,7,-19.659000000000002,39.535,84.806,9.133,14.314,-10000.0,-10000.0,-10000.0,-10000.0,131.0,-10000.0,0,4075940,4101040,Preset,1,,izquierda,6.0,7.0
7,2843,0,8,-24.029,35.61,80.428,4.1,26.572,-10000.0,-10000.0,-10000.0,-10000.0,109.0,-10000.0,0,4075940,4101040,Preset,1,,izquierda,6.0,11.0
8,2844,0,9,-18.081,30.432,78.623,5.767,24.366,-10000.0,-10000.0,-10000.0,-10000.0,141.0,-10000.0,0,4116990,4123290,Preset,1,,izquierda,2.0,
9,2845,0,10,-19.99,44.979,87.897,23.533,14.725,-10000.0,-10000.0,-10000.0,-10000.0,347.0,-10000.0,0,4142790,4179240,Preset,1,,izquierda,6.0,6.0
10,2845,0,11,-23.051,40.63,84.27600000000001,12.383,21.68,-10000.0,-10000.0,-10000.0,-10000.0,268.0,-10000.0,0,4142790,4179240,Preset,1,,izquierda,6.0,9.0
11,2846,0,12,-23.949,39.385999999999996,83.29299999999999,8.567,19.537,-10000.0,-10000.0,-10000.0,-10000.0,167.0,-10000.0,0,4181940,4191040,Preset,1,,izquierda,6.0,10.0
12,2847,0,13,-21.009,38.808,84.035,9.333,17.825,-10000.0,-10000.0,-10000.0,-10000.0,166.0,-10000.0,0,4191440,4237240,Preset,1,,izquierda,6.0,8.0
13,2847,0,14,-21.682,47.062,92.25200000000001,35.933,14.149000000000001,-10000.0,-10000.0,-10000.0,-10000.0,508.0,-10000.0,0,4191440,4237240,Preset,1,,izquierda,6.0,5.0
14,2848,0,15,-22.054000000000002,51.593999999999994,95.62,54.766999999999996,15.169,-10000.0,-10000.0,-10000.0,-10000.0,831.0,-10000.0,0,4282790,4338090,Preset,1,,izquierda,2.0,
15,2849,0,16,-21.164,51.881,95.94200000000001,22.217,5.114,-10000.0,-10000.0,-10000.0,-10000.0,114.0,-10000.0,0,4362290,4385040,Preset,1,,izquierda,2.0,
16,2850,0,17,-21.949,52.536,95.37700000000001,60.1,10.690999999999999,-10000.0,-10000.0,-10000.0,-10000.0,643.0,-10000.0,0,4545040,4634640,Preset,1,,izquierda,2.0,
17,2850,0,18,-14.809000000000001,46.534,95.514,3.617,5.5729999999999995,-10000.0,-10000.0,-10000.0,-10000.0,20.0,-10000.0,0,4545040,4634640,Preset,1,,izquierda,2.0,
18,2850,0,19,-15.435,37.588,94.30799999999999,12.617,6.954,-10000.0,-10000.0,-10000.0,-10000.0,88.0,-10000.0,0,4545040,4634640,Preset,1,,izquierda,6.0,2.0
19,2850,0,20,-19.158,42.042,96.619,7.3,8.213,-10000.0,-10000.0,-10000.0,-10000.0,60.0,-10000.0,0,4545040,4634640,Preset,1,,izquierda,6.0,3.0
20,2851,0,21,-17.537,43.336000000000006,96.527,118.617,7.973,-10000.0,-10000.0,-10000.0,-10000.0,946.0,-10000.0,0,4659340,4778490,Preset,1,,izquierda,6.0,4.0
21,2852,0,22,-12.550999999999998,38.695,99.713,3.667,3.032,-10000.0,-10000.0,-10000.0,-10000.0,11.0,-10000.0,0,4778840,4783040,Preset,1,,izquierda,7.0,32.0
22,2853,0,23,-23.788,32.213,83.92299999999999,23.816999999999997,12.595999999999998,-10000.0,-10000.0,-10000.0,-10000.0,300.0,-10000.0,0,4886890,4911240,Preset,1,,izquierda,6.0,12.0
23,2854,0,24,-18.384,28.521,81.736,14.317,11.554,-10000.0,-10000.0,-10000.0,-10000.0,165.0,-10000.0,0,4961990,4976840,Preset,1,,izquierda,6.0,13.0
24,2855,0,25,-15.755,25.448,81.722,19.75,7.907,-10000.0,-10000.0,-10000.0,-10000.0,156.0,-10000.0,0,4987290,5010790,Preset,1,,izquierda,2.0,
25,2855,0,26,-20.230999999999998,21.854,79.247,3.217,17.871,-10000.0,-10000.0,-10000.0,-10000.0,57.0,-10000.0,0,4987290,5010790,Preset,1,,izquierda,2.0,
26,2856,0,27,-16.864,25.081,80.812,10.667,6.794,-10000.0,-10000.0,-10000.0,-10000.0,72.0,-10000.0,0,5022790,5033990,Preset,1,,izquierda,6.0,14.0
27,2857,0,28,-16.309,22.583000000000002,80.78,9.267000000000001,6.4670000000000005,-10000.0,-10000.0,-10000.0,-10000.0,60.0,-10000.0,0,5039890,5049690,Preset,1,,izquierda,6.0,15.0
28,2859,0,29,-14.435,19.192,81.501,12.617,5.937,-10000.0,-10000.0,-10000.0,-10000.0,75.0,-10000.0,0,5071190,5084340,Preset,1,,izquierda,6.0,16.0
29,2860,0,30,-13.015,14.619000000000002,82.975,19.467,4.13,-10000.0,-10000.0,-10000.0,-10000.0,80.0,-10000.0,0,5094640,5114640,Preset,1,,izquierda,6.0,19.0
30,2861,0,31,-12.599,14.379000000000001,82.117,12.917,6.231,-10000.0,-10000.0,-10000.0,-10000.0,80.0,-10000.0,0,5120090,5133540,Preset,1,,izquierda,6.0,18.0
31,2862,0,32,-11.302999999999999,12.037,83.148,10.967,6.612,-10000.0,-10000.0,-10000.0,-10000.0,73.0,-10000.0,0,5139040,5150540,Preset,1,,izquierda,2.0,
32,2865,0,33,-7.32,14.86,86.152,7.882999999999999,2.8560000000000003,-10000.0,-10000.0,-10000.0,-10000.0,23.0,-10000.0,0,5177790,5190790,Preset,1,,izquierda,6.0,22.0
33,2866,0,34,-11.574000000000002,13.874,86.115,8.683,3.298,-10000.0,-10000.0,-10000.0,-10000.0,29.0,-10000.0,0,5197390,5206740,Preset,1,,izquierda,6.0,20.0
34,2868,0,35,-13.422,11.265999999999998,86.24799999999999,5.582999999999999,3.135,-10000.0,-10000.0,-10000.0,-10000.0,18.0,-10000.0,0,5218640,5225740,Preset,1,,izquierda,2.0,
35,2869,0,36,-17.005,18.795,78.415,16.967,11.091,-10000.0,-10000.0,-10000.0,-10000.0,188.0,-10000.0,0,5255740,5273240,Preset,1,,izquierda,2.0,
36,2870,0,37,-13.692,15.33,80.91199999999999,11.117,6.8229999999999995,-10000.0,-10000.0,-10000.0,-10000.0,76.0,-10000.0,0,5282090,5293740,Preset,1,,izquierda,6.0,17.0
37,2871,0,38,-14.276,15.02,80.65100000000001,14.017000000000001,8.039,-10000.0,-10000.0,-10000.0,-10000.0,113.0,-10000.0,0,5306090,5320640,Preset,1,,izquierda,2.0,
38,2872,0,39,-12.929,13.642999999999999,81.796,21.517,6.691,-10000.0,-10000.0,-10000.0,-10000.0,144.0,-10000.0,0,5330090,5352140,Preset,1,,izquierda,2.0,
39,2873,0,40,-8.997,14.355,84.836,11.767000000000001,3.611,-10000.0,-10000.0,-10000.0,-10000.0,42.0,-10000.0,0,5370740,5383040,Preset,1,,izquierda,6.0,21.0
40,2874,0,41,-3.639,14.190999999999999,85.97399999999999,57.383,15.244000000000002,-10000.0,-10000.0,-10000.0,-10000.0,875.0,-10000.0,0,5394490,5455890,Preset,1,,izquierda,6.0,23.0
41,2874,0,42,-0.9229999999999999,21.135,82.91799999999999,3.483,12.075,-10000.0,-10000.0,-10000.0,-10000.0,42.0,-10000.0,0,5394490,5455890,Preset,1,,izquierda,7.0,24.0
42,2877,0,43,-1.723,16.31,93.016,68.017,8.649,-10000.0,-10000.0,-10000.0,-10000.0,588.0,-10000.0,0,5725990,5797790,Preset,1,,izquierda,2.0,
43,2881,0,44,1.2770000000000001,21.653000000000002,94.57,5.8,3.034,-10000.0,-10000.0,-10000.0,-10000.0,18.0,-10000.0,0,5889040,5911090,Preset,1,,izquierda,2.0,
44,2881,0,45,0.624,20.104,93.882,7.1,4.088,-10000.0,-10000.0,-10000.0,-10000.0,29.0,-10000.0,0,5889040,5911090,Preset,1,,izquierda,2.0,
45,2882,0,46,1.86,27.641,93.52,7.582999999999999,5.223,-10000.0,-10000.0,-10000.0,-10000.0,40.0,-10000.0,0,5927090,5938590,Preset,1,,izquierda,2.0,
46,2883,0,47,3.965,17.275,93.12100000000001,4.05,4.0169999999999995,-10000.0,-10000.0,-10000.0,-10000.0,16.0,-10000.0,0,5979140,6022890,Preset,1,,izquierda,2.0,
47,2883,0,48,3.9730000000000003,20.144000000000002,94.73,3.367,4.695,-10000.0,-10000.0,-10000.0,-10000.0,16.0,-10000.0,0,5979140,6022890,Preset,1,,izquierda,2.0,
48,2883,0,49,3.94,19.56,94.641,4.7669999999999995,4.333,-10000.0,-10000.0,-10000.0,-10000.0,21.0,-10000.0,0,5979140,6022890,Preset,1,,izquierda,2.0,
49,2883,0,50,3.906,22.764,96.441,6.45,4.196000000000001,-10000.0,-10000.0,-10000.0,-10000.0,27.0,-10000.0,0,5979140,6022890,Preset,1,,izquierda,2.0,
50,2883,0,51,4.825,29.769000000000002,100.04799999999999,3.633,6.099,-10000.0,-10000.0,-10000.0,-10000.0,22.0,-10000.0,0,5979140,6022890,Preset,1,,izquierda,2.0,
51,2883,0,52,6.122000000000001,31.406999999999996,102.20299999999999,3.717,9.17,-10000.0,-10000.0,-10000.0,-10000.0,34.0,-10000.0,0,5979140,6022890,Preset,1,,izquierda,2.0,
52,2884,0,53,3.8289999999999997,32.05,97.68299999999999,9.867,12.217,-10000.0,-10000.0,-10000.0,-10000.0,121.0,-10000.0,0,6024090,6034490,Preset,1,,izquierda,2.0,
53,2885,0,54,-12.82,47.567,105.83,5.167000000000001,3.275,-10000.0,-10000.0,-10000.0,-10000.0,17.0,-10000.0,0,6093390,6099090,Preset,1,,izquierda,2.0,
54,2890,0,55,-3.293,24.823,91.79700000000001,3.233,3.075,-10000.0,-10000.0,-10000.0,-10000.0,10.0,-10000.0,0,6294440,6317690,Preset,1,,izquierda,7.0,25.0
55,2890,0,56,-3.715,28.462,93.052,3.0669999999999997,3.444,-10000.0,-10000.0,-10000.0,-10000.0,11.0,-10000.0,0,6294440,6317690,Preset,1,,izquierda,7.0,26.0
56,2890,0,57,-4.27,30.436,94.445,4.133,4.186,-10000.0,-10000.0,-10000.0,-10000.0,17.0,-10000.0,0,6294440,6317690,Preset,1,,izquierda,7.0,27.0
57,2890,0,58,-3.198,31.953000000000003,95.587,4.25,3.503,-10000.0,-10000.0,-10000.0,-10000.0,15.0,-10000.0,0,6294440,6317690,Preset,1,,izquierda,7.0,29.0
58,2891,0,59,-2.7430000000000003,31.47,94.221,18.417,4.365,-10000.0,-10000.0,-10000.0,-10000.0,80.0,-10000.0,0,6349990,6384040,Preset,1,,izquierda,7.0,28.0
59,2891,0,60,-2.427,33.897,96.76799999999999,4.5169999999999995,4.749,-10000.0,-10000.0,-10000.0,-10000.0,21.0,-10000.0,0,6349990,6384040,Preset,1,,izquierda,7.0,30.0
60,2892,0,61,-3.52,37.044000000000004,97.515,5.55,5.027,-10000.0,-10000.0,-10000.0,-10000.0,28.0,-10000.0,0,6390740,6398440,Preset,1,,izquierda,2.0,
61,2894,0,62,-5.207000000000001,33.531,98.516,4.35,3.22,-10000.0,-10000.0,-10000.0,-10000.0,14.0,-10000.0,0,6630440,6640990,Preset,1,,izquierda,7.0,31.0
62,2895,0,63,0.024,35.68,102.454,8.133,3.863,-10000.0,-10000.0,-10000.0,-10000.0,31.0,-10000.0,0,6642840,6665290,Preset,1,,izquierda,2.0,
63,2895,0,64,0.441,41.29,103.494,5.083,3.773,-10000.0,-10000.0,-10000.0,-10000.0,19.0,-10000.0,0,6642840,6665290,Preset,1,,izquierda,2.0,
64,2896,0,65,-66.551,10.853,83.63,36.667,12.045,-10000.0,-10000.0,-10000.0,-10000.0,442.0,-10000.0,0,6703590,6746540,Preset,1,,izquierda,2.0,
65,2896,0,66,-61.318000000000005,6.902,88.75299999999999,5.75,9.06,-10000.0,-10000.0,-10000.0,-10000.0,52.0,-10000.0,0,6703590,6746540,Preset,1,,izquierda,2.0,
66,2897,0,67,-62.993,6.0089999999999995,87.07700000000001,21.533,3.4730000000000003,-10000.0,-10000.0,-10000.0,-10000.0,75.0,-10000.0,0,6750940,6778190,Preset,1,,izquierda,2.0,
67,2898,0,68,-60.97,6.417999999999999,85.861,9.4,7.385,-10000.0,-10000.0,-10000.0,-10000.0,69.0,-10000.0,0,6790290,6828640,Preset,1,,izquierda,2.0,
68,2898,0,69,-53.153999999999996,7.353,87.24,28.433000000000003,10.214,-10000.0,-10000.0,-10000.0,-10000.0,290.0,-10000.0,0,6790290,6828640,Preset,1,,izquierda,2.0,
69,2899,0,70,-52.81100000000001,9.331,85.8,9.017000000000001,6.272,-10000.0,-10000.0,-10000.0,-10000.0,57.0,-10000.0,0,6877140,6886690,Preset,1,,izquierda,2.0,
70,2900,0,71,-54.86600000000001,33.711,84.848,19.8,8.87,-10000.0,-10000.0,-10000.0,-10000.0,176.0,-10000.0,0,6931040,6957590,Preset,1,,izquierda,2.0,
71,2900,0,72,-45.983000000000004,27.993000000000002,85.074,6.2170000000000005,15.193,-10000.0,-10000.0,-10000.0,-10000.0,94.0,-10000.0,0,6931040,6957590,Preset,1,,izquierda,2.0,
72,2901,0,73,-50.063,27.12,87.34100000000001,9.083,5.32,-10000.0,-10000.0,-10000.0,-10000.0,48.0,-10000.0,0,6964890,7007890,Preset,1,derechas,derechas,3.0,
73,2901,0,74,-54.263999999999996,34.259,86.029,18.633,10.169,-10000.0,-10000.0,-10000.0,-10000.0,189.0,-10000.0,0,6964890,7007890,Preset,1,derechas,,3.0,
74,2901,0,75,-51.515,36.424,91.21600000000001,10.917,34.221,-10000.0,-10000.0,-10000.0,-10000.0,374.0,-10000.0,0,6964890,7007890,Preset,1,derechas,,3.0,
75,2902,0,76,-52.553999999999995,40.772,97.395,9.833,4.574,-10000.0,-10000.0,-10000.0,-10000.0,45.0,-10000.0,0,7039440,7055990,Preset,1,,derechas,3.0,
76,2903,0,77,-50.898,43.733000000000004,94.831,20.983,14.671,-10000.0,-10000.0,-10000.0,-10000.0,308.0,-10000.0,0,7069890,7096490,Preset,1,,derechas,3.0,
77,2903,0,78,-56.887,45.795,98.382,5.083,10.602,-10000.0,-10000.0,-10000.0,-10000.0,54.0,-10000.0,0,7069890,7096490,Preset,1,,derechas,3.0,
78,2904,0,79,-49.04600000000001,43.049,92.39,3.5669999999999997,5.066,-10000.0,-10000.0,-10000.0,-10000.0,18.0,-10000.0,0,7163090,7167190,Preset,1,,derechas,3.0,
